id,window_width,window_height
Participant04_B,1512,834
Participant03_A,2560,1440
Participant01_A,1440,900
Participant06_B,1280,800
Participant10_A,1280,720
Participant08_B,1920,1080
Participant07_A,1440,900
Participant05_A,2133,1200
Participant02_B,2277,1280
Participant09_A,1440,900
