id,trial,stimulus,sampling_rate,t,x,y,outside,aoi,side,aoi_hit,side_hit
Participant01_B,1.0,FAM_RL,16.760765505288013,0,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,50,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,100,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,150,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,200,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,250,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,300,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,350,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,400,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,450,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,500,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,550,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,600,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,650,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,700,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,750,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,800,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,850,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,900,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,950,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1000,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1050,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1100,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1150,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1200,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1250,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1300,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1350,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1400,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1450,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1500,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1550,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1600,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1650,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1700,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1750,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1800,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1850,615.0,472.0,False,none,left,none,target
Participant01_B,1.0,FAM_RL,16.760765505288013,1900,615.0,472.0,False,none,left,none,target
